@relation train
@attribute zhou_entr numeric
@attribute unim_entr numeric
@attribute physionet {0,1}
@data
0.0007643464566929134, 10, 0
0.0008318110236220473, 10, 0
0.0008962047244094488, 10, 0
0.0009578110236220473, 10, 0
0.0010168661417322834, 10, 0
0.0010735748031496064, 10, 0
0.0011280787401574803, 10, 0
0.0011805196850393702, 10, 0
0.0012310393700787402, 10, 0
0.001279716535433071, 10, 0
0.0013266771653543308, 10, 0
0.0022083543307086615, 10, 0
0.0032351496062992128, 10, 0
0.004406653543307087, 10, 0
0.00468003937007874, 10, 0
0.006049889763779528, 10, 0
0.00618207874015748, 10, 0
0.006309496062992126, 10, 0
0.006432377952755905, 10, 0
0.006756708661417322, 10, 0
0.008384511811023622, 10, 0
0.010154708661417324, 10, 0
0.010584062992125984, 10, 0
0.0109588031496063, 10, 0
0.011332472440944883, 10, 0
0.011758614173228347, 10, 0
0.013866307086614174, 10, 0
0.014343307086614174, 10, 0
0.016642992125984253, 10, 0
0.01908240157480315, 10, 0
0.021660944881889764, 10, 0
0.022290141732283462, 10, 0
0.02283722834645669, 10, 0
0.023330362204724408, 10, 0
0.023782866141732282, 10, 0
0.02420267716535433, 10, 0
0.02459499212598425, 10, 0
0.02496330708661417, 10, 0
0.025310645669291337, 10, 0
0.025638897637795276, 10, 0
0.025949858267716536, 10, 0
0.026244944881889762, 10, 0
0.0265251968503937, 10, 0
0.026791653543307085, 10, 0
0.027045070866141732, 10, 0
0.027286204724409447, 10, 0
0.02751571653543307, 10, 0
0.02773407874015748, 10, 0
0.02794176377952756, 10, 0
0.028139055118110236, 10, 0
0.028326614173228345, 10, 0
0.028504629921259843, 10, 0
0.028673385826771654, 10, 0
0.028833165354330708, 10, 0
0.028984157480314958, 10, 0
0.029126740157480315, 10, 0
0.02926091338582677, 10, 0
0.029387055118110236, 10, 0
0.029505259842519685, 10, 0
0.029615527559055117, 10, 0
0.029718141732283463, 10, 0
0.033038015748031495, 10, 0
0.03648466141732284, 10, 0
0.03713814173228347, 10, 0
0.03723966929133858, 10, 0
0.03733237795275591, 10, 0
0.03741626771653544, 10, 0
0.03805662992125985, 10, 0
0.041723740157480316, 10, 0
0.04230200787401575, 10, 0
0.04281129921259843, 10, 0
0.04326814960629921, 10, 0
0.04368236220472441, 10, 0
0.0443451968503937, 10, 0
0.04490350393700788, 10, 0
0.04495240157480315, 10, 0
0.044991259842519685, 10, 0
0.045536574803149606, 10, 0
0.04617755905511811, 10, 0
0.04664834645669291, 10, 0
0.046663582677165354, 10, 0
0.04712456692913386, 10, 0
0.04774618110236221, 10, 0
0.04807759842519685, 10, 0
0.04858830708661417, 10, 0
0.04897972440944882, 10, 0
0.04895799212598426, 10, 0
0.04892551181102362, 10, 0
0.04888204724409449, 10, 0
0.053045543307086614, 10, 0
0.05731489763779527, 10, 0
0.0616884094488189, 10, 0
0.06616458267716537, 9, 0
0.07074188976377953, 9, 0
0.07541811023622047, 9, 0
0.08019173228346456, 9, 0
0.08097177952755905, 9, 0
0.08173952755905511, 9, 0
0.0866524094488189, 9, 0
0.08645192913385827, 9, 0
0.08622971653543307, 9, 0
0.08598468503937008, 9, 0
0.08571665354330708, 10, 0
0.08542453543307087, 10, 0
0.0851074251968504, 10, 0
0.08476441732283464, 10, 0
0.08439406299212598, 10, 0
0.08914620472440944, 9, 0
0.0897775748031496, 9, 0
0.09038097637795275, 9, 0
0.0909535748031496, 9, 0
0.0904183937007874, 9, 0
0.08983861417322835, 9, 0
0.08920856692913386, 9, 0
0.08852088188976377, 9, 0
0.08776573228346456, 9, 0
0.08692705511811023, 9, 0
0.08674507086614172, 10, 0
0.08658444094488188, 10, 0
0.08218099212598426, 10, 0
0.08256873228346456, 10, 0
0.0831754251968504, 10, 0
0.08366657480314961, 10, 0
0.08849045669291337, 10, 0
0.08896781102362204, 10, 0
0.08923502362204724, 10, 0
0.08882815748031496, 10, 0
0.08839388976377953, 10, 0
0.08859496062992125, 10, 0
0.08888371653543306, 10, 0
0.08898708661417322, 10, 0
0.08843943307086614, 10, 0
0.08785190551181102, 10, 0
0.08722091338582677, 10, 0
0.0865404094488189, 10, 0
0.08580340157480315, 10, 0
0.08499949606299212, 10, 0
0.08411300787401574, 10, 0
0.08295666141732283, 10, 0
0.08195622047244094, 10, 0
0.08095105511811024, 10, 0
0.07978053543307086, 10, 0
0.07492204724409449, 10, 0
0.07394554330708662, 10, 0
0.07281075590551181, 10, 0
0.06816535433070865, 10, 0
0.06816535433070865, 10, 0
0.07167198425196851, 10, 0
0.07167198425196851, 10, 0
0.0715180472440945, 10, 0
0.06755974803149606, 10, 0
0.06376228346456693, 10, 0
0.06037102362204724, 10, 0
0.06416111811023623, 10, 0
0.0679775748031496, 10, 0
0.06822044094488189, 10, 0
0.06843593700787401, 10, 0
0.06843593700787401, 10, 0
0.06843593700787401, 10, 0
0.06843593700787401, 10, 0
