00
4613049	4613069
4617620	4617640
4671494	4671514
4710498	4710519
4711876	4711897
4718369	4718389
4720584	4720605
4724658	4724679
4775994	4776014
4776354	4776374
4781614	4781635
4789882	4789903
4791674	4791694
4792369	4792389
4806854	4806874
4812922	4812943
4844567	4844588
4857824	4857844
5002331	5002351
5081330	5081350
5208130	5208151
5212943	5212964
5218676	5218696
5271107	5271128
5291810	5291831
5326516	5326536
5333918	5333939
5356158	5356178
5382146	5382166
5425602	5425622
5428705	5428725
5489784	5489804
5501114	5501135
5523422	5523443
5534730	5534751
5546051	5546071
5575510	5575531
5578029	5578050
5589952	5589972
5637164	5637185
5667688	5667708
5677064	5677085
5719974	5719994
5741642	5741662

01
48029	48049
103598	103619
131988	132009
215744	215764
245520	245541
741655	741676
829103	829123
848417	848438
920902	920923
964362	964382
979996	980016
992882	992903
993496	993516
1007538	1007558
1021372	1021392
1040011	1040031
1053568	1053589
1061571	1061592
1079274	1079294
1140349	1140370
1158356	1158377
1170519	1170540
1189168	1189189
1196646	1196667
1197432	1197453
1230387	1230407
1237527	1237548
1288528	1288548
1359230	1359251
1361975	1361996
1364300	1364321
1375494	1375514
1382949	1382970
1384948	1384969
1505007	1505027
1522995	1523016
1553780	1553800
1555767	1555788
1557552	1557572
1587539	1587559
1595807	1595827
1616700	1616720
1705985	1706005
1738367	1738388
1806700	1806720
1879150	1879171
2000695	2000716
2082227	2082248
2111979	2111999
2145494	2145514
2233777	2233797
2268289	2268310
5382953	5382973

03
1376852	1376873
2316761	2316782
8087945	8087965
8089775	8089796
8098242	8098263
8131485	8131505
8200709	8200730
8220266	8220287
8364266	8364287
8784118	8784138
8806647	8806668
8812240	8812260
8815174	8815194
8817792	8817812
8826022	8826042
8830327	8830348
8832322	8832343
8832984	8833004
8835002	8835022
8839226	8839247
10344183	10344204
10350759	10350779

05
2004599	2004619
2143230	2143250
6614596	6614616

06
65216	65236
77125	77146
84868	84888
274409	274429
754609	754630
755140	755160
756534	756555
767840	767861
778449	778470
781768	781789
784878	784899
1712635	1712655
1753152	1753173
1837831	1837851
2013385	2013406
2016094	2016115
2025678	2025699
2044057	2044078
2287331	2287351

07
7944314	7944334
7951054	7951075
8107788	8107809
8158625	8158645
8508259	8508279
8510390	8510411
9450072	9450093
9590993	9591014

08
1074658	1074679
1192367	1192387
1454401	1454422
10197310	10197330

10
4392	4412
7749970	7749991
7771680	7771701
7787011	7787031
7851604	7851625
7975512	7975533
8067024	8067045
8079287	8079308
8082602	8082623
8084922	8084943
8088073	8088094
8089956	8089977
8093940	8093961
8112079	8112100
8116474	8116495
8121868	8121888
8123611	8123631
8125955	8125975
8269708	8269728
8302857	8302877
8311187	8311208
8329451	8329471
8358553	8358574
8367640	8367661
8372206	8372226
8390078	8390098
8394449	8394470
8396724	8396744
8400737	8400758
8406505	8406525
8631069	8631089
8710758	8710778
8725260	8725280
8752415	8752436
8866777	8866798
8883455	8883476
8889527	8889547
8897422	8897442
8905502	8905522
8923388	8923409
8938504	8938524
8985139	8985160
8997571	8997591
9011808	9011829
9015907	9015927
9021000	9021021
9028721	9028742
9039212	9039232
9044858	9044878
9061877	9061897
9068690	9068711
9071932	9071953
9099283	9099304
9103876	9103897
9125692	9125713
9186555	9186576
9189394	9189414
9192028	9192048
9196660	9196680
9209504	9209524
9212852	9212872
9217809	9217830
9238811	9238832
9249619	9249639
9317452	9317472
9327434	9327454
9331651	9331672
9335472	9335493
9347130	9347150
9349963	9349983
9380994	9381015
9390314	9390334
9402942	9402962
9419174	9419194
9455108	9455128
9472838	9472859
9507027	9507047
9517481	9517502
9843538	9843558
10473134	10473154

100
703472	703493
703843	703863
1162808	1162829
1164314	1164335
1246536	1246557
1392326	1392347
2143391	2143412
2144198	2144218
2145200	2145221
2145887	2145908
2262781	2262802
2278480	2278500
2280044	2280064
2447437	2447457
2449599	2449620
2454922	2454942
2462705	2462726
2464969	2464989
2473122	2473142
2474820	2474841
2478847	2478868
2483500	2483520
2484572	2484593
2512221	2512241
2513881	2513901
2541761	2541781
2568183	2568204
2585651	2585671
2594137	2594158
2595823	2595844
2601046	2601066
2604050	2604071
2659333	2659354
2662266	2662287
2665804	2665824
2670047	2670067
2691758	2691779
2726621	2726641
2727758	2727778
2765540	2765560
2768719	2768739
2771697	2771717
2772666	2772686
2803183	2803204
2803623	2803644
2866573	2866593
2868740	2868761
2895372	2895392
2896086	2896107
2899274	2899294
2900441	2900461
2901597	2901618
2902391	2902412
2928220	2928241
2931610	2931631
2932310	2932331
2933486	2933507
2935318	2935338
2939665	2939686
2951961	2951982
2953588	2953609
2954109	2954129
2954586	2954606
2967991	2968012
2969039	2969060
2971966	2971987
3071020	3071041
3196972	3196992
3197554	3197575
3199546	3199566
3200319	3200339
3235585	3235606
3237352	3237372
3239194	3239214
3241788	3241809
3242851	3242871
3247580	3247600
3248754	3248774
3249984	3250005
3250835	3250856
3251488	3251509
3254352	3254372
3256166	3256187
3259683	3259703
3260181	3260201
3261109	3261130
3261955	3261976
3264294	3264314
3264940	3264960
3265581	3265602
3266414	3266435
3267031	3267052
3270157	3270177
3281429	3281450
3282440	3282461
3282903	3282923
3283354	3283374
3283800	3283820
3284622	3284643
3285068	3285089
3285535	3285556
3288496	3288516
3289528	3289549
3290346	3290366
3291001	3291022
3291831	3291851
3292305	3292326
3293992	3294012
3297022	3297042
3299229	3299249
3300695	3300715
3301983	3302003
3304841	3304861
3308344	3308364
3310780	3310801
3312778	3312798
3314536	3314557
3316562	3316582
3317071	3317091
3318379	3318399
3320094	3320115
3322575	3322596
3331806	3331827
3333631	3333652
3333935	3333956
3335194	3335215
3337300	3337321
3337853	3337873
3338689	3338710
3340673	3340694
3342585	3342606
3343127	3343148
3344013	3344033
3345158	3345178
3345815	3345836
3346330	3346350
3347345	3347365
3352210	3352231
3356134	3356154
3357276	3357296
3359647	3359668
3361648	3361668
3587554	3587574
3995230	3995250
4001376	4001396
4004249	4004270
4007465	4007485
4008638	4008658
4009528	4009549
4013277	4013297
4016336	4016356
4017574	4017594
4029674	4029694
4031245	4031265
4083966	4083986
4087310	4087331
4089374	4089395
4090229	4090250
4090662	4090682
4092847	4092867
4093604	4093625
4094334	4094354
4099330	4099350
4101582	4101603
4102301	4102321
4102890	4102910
4103411	4103431
4107474	4107494
4108134	4108154
4109686	4109707
4118248	4118269
4119794	4119814
4120689	4120710
4176447	4176468
4203139	4203160
4204247	4204268
4206132	4206153
4273473	4273493
4371988	4372008
4516775	4516796
4522628	4522649
4523180	4523201
4524982	4525003
4526207	4526227
4533601	4533621
4533998	4534018
4535759	4535780
4537781	4537801
4538548	4538569
